Exchange Rate,R ROI,Inflation,Gov Effectiveness,BOP(Trade),Political stability
35.43317,1.468708,6.045948,-1.63653,1.81E+11,-1.90759
36.31329,0.306232,4.826562,-1.63653,1.88E+11,-1.90759
41.25937,-2.02867,11.67856,-1.81298,2.37E+11,-2.08043
43.05543,2.70398,2.481793,-1.81298,3.28E+11,-2.08043
44.94161,1.528818,0.632579,-1.91224,4.36E+11,-2.08402
47.18641,4.02431,0.953122,-1.91224,4.16E+11,-2.08402
48.61032,4.83393,2.71112,-1.81,4.72E+11,-1.49614
46.58328,5.201287,1.535764,-1.68403,5.34E+11,-1.59044
45.31647,3.302448,1.090015,-1.91996,6.47E+11,-1.04739
44.09998,1.89427,0.853597,-1.62979,7.51E+11,-0.95334
45.30701,-2.15726,2.570579,-1.67706,7.95E+11,-1.55602
41.34853,0.48198,3.520209,-1.50628,7.66E+11,-1.52877
43.50518,0.670714,4.510167,-1.61481,7.08E+11,-1.69237
48.40527,2.191514,11.2379,-1.50628,4.02E+11,-1.80286
45.72581,-3.99414,10.34935,-1.52062,5.19E+11,-1.71639
46.67047,0.155082,5.754952,-1.49124,5.74E+11,-1.91804
53.43723,1.111057,7.40966,-1.67741,5.39E+11,-1.92175
58.59785,2.343779,8.553046,-1.67397,5.38E+11,-1.87225
61.02951,5.212615,5.043434,-1.68439,6.06E+11,-1.58033
64.15194,5.245974,4.788346,-1.3531,6.25E+11,-1.61766
67.19531,3.695479,3.686633,-1.38014,6.42E+11,-1.34606
65.12157,3.062312,1.198063,-1.47664,6.51E+11,-1.0363
68.38947,2.806917,1.496243,-1.27429,6.92E+11,-1.38375
70.42034,3.350378,1.917296,-1.32271,7.00E+11,-0.91472
74.09957,1.941433,5.389852,-0.9001,8.17E+11,-0.81421
73.91801,1.593178,0.433549,-1.04866,9.07E+11,-0.67712